video_id,video,method,metric_name,metric_value
31,bike-packing,Newson,psnr,27.32832167
32,paragliding-launch,Newson,psnr,26.3511411
33,bmx-trees,Newson,psnr,26.81973068
34,flamingo,Newson,psnr,24.21434616
35,tractor-sand,Newson,psnr,25.98796974
36,dogs-jump,Newson,psnr,27.80080517
37,horsejump-high,Newson,psnr,28.3031754
38,dog-agility,Newson,psnr,27.81577875
39,disc-jockey,Newson,psnr,28.87206434
40,hike,Newson,psnr,26.00220854
41,miami-surf,Newson,psnr,28.78257375
42,dance-jump,Newson,psnr,28.33375634
43,lindy-hop,Newson,psnr,26.93056714
44,tuk-tuk,Newson,psnr,29.25725051
45,judo,Newson,psnr,26.25415511
46,blackswan,Newson,psnr,28.30586392
47,boat,Newson,psnr,26.28947666
48,car-roundabout,Newson,psnr,30.00659784
49,loading,Newson,psnr,27.25433576
50,night-race,Newson,psnr,28.24491803
51,dancing,Newson,psnr,31.75495257
52,paragliding,Newson,psnr,28.95383012
53,kite-walk,Newson,psnr,27.73763284
54,libby,Newson,psnr,30.90750641
55,drift-turn,Newson,psnr,28.45781125
56,rollerblade,Newson,psnr,28.20132476
57,kid-football,Newson,psnr,26.85208086
58,drift-chicane,Newson,psnr,29.53495962
59,lucia,Newson,psnr,29.7466437
60,color-run,Newson,psnr,27.02102683
61,lab-coat,Newson,psnr,31.38976866
62,hockey,Newson,psnr,31.92737983
63,elephant,Newson,psnr,32.83029329
64,dog-gooses,Newson,psnr,26.75552772
65,planes-water,Newson,psnr,28.16483992
66,india,Newson,psnr,28.18860393
67,dog,Newson,psnr,28.64061592
68,swing,Newson,psnr,27.81951867
69,kite-surf,Newson,psnr,30.74285408
70,mbike-trick,Newson,psnr,29.16620657
71,pigs,Newson,psnr,33.71638569
72,breakdance-flare,Newson,psnr,31.97994474
1,boxing-fisheye,Kim,psnr,18.32566314
2,longboard,Kim,psnr,19.73584388
3,lady-running,Kim,psnr,19.64076282
4,cat-girl,Kim,psnr,19.11841838
5,walking,Kim,psnr,19.13122271
6,scooter-black,Kim,psnr,20.87437997
7,dogs-scale,Kim,psnr,21.44949846
8,rallye,Kim,psnr,21.66078584
9,motorbike,Kim,psnr,22.26784972
10,drift-straight,Kim,psnr,21.39219934
11,mallard-water,Kim,psnr,21.31901103
12,scooter-board,Kim,psnr,21.39424986
13,bear,Kim,psnr,22.07056045
14,varanus-cage,Kim,psnr,21.94046511
15,horsejump-low,Kim,psnr,23.0484681
16,schoolgirls,Kim,psnr,26.03805141
